POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,David Warner,12,12,2,692,100*,69.20,481,143.86,1,8,57,21
2,KL Rahul,14,14,3,593,100*,53.90,438,135.38,1,6,49,25
3,Quinton de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25
4,Shikhar Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11
5,Andre Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52
6,Chris Gayle,13,13,1,490,99*,40.83,319,153.60,0,4,45,34
7,Rishabh Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27
8,Virat Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13
9,Shreyas Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14
10,Jonny Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18
11,AB de Villiers,13,13,3,442,82*,44.20,287,154.00,0,5,31,26
12,Suryakumar Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10
13,MS Dhoni,15,12,7,416,84*,83.20,309,134.62,0,3,22,23
14,Chris Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22
15,Rohit Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10
16,Hardik Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29
17,Shane Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20
18,Faf du Plessis,12,12,1,396,96,36.00,321,123.36,0,3,36,15
19,Ajinkya Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9
20,Suresh Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9
21,Parthiv Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10
22,Prithvi Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9
23,Manish Pandey,12,11,3,344,83*,43.00,263,130.79,0,3,34,6
24,Nitish Rana,14,11,1,344,85*,34.40,235,146.38,0,3,27,21
25,Sanju Samson,12,12,2,342,102*,34.20,230,148.69,1,0,28,13
26,Mayank Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14
27,Steve Smith,12,10,2,319,73*,39.87,275,116.00,0,3,30,4
28,Jos Buttler,8,8,0,311,89,38.87,205,151.70,0,3,38,14
29,Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10
30,Ambati Rayudu,17,17,5,282,57,23.50,303,93.06,0,1,20,7
31,Robin Uthappa,12,11,2,282,67*,31.33,245,115.10,0,1,28,10
32,Kieron Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22
33,Dinesh Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14
34,Vijay Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12
35,Moeen Ali,11,10,2,220,66,27.50,133,165.41,0,2,16,17
36,David Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7
37,Marcus Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10
38,Colin Ingram,12,12,2,184,47,18.40,154,119.48,0,0,20,5
39,Krunal Pandya,16,15,4,183,42,16.63,150,122.00,0,0,18,5
40,Sarfaraz Khan,8,5,1,180,67,45.00,143,125.87,0,1,19,4
41,Nicholas Pooran,7,6,0,168,48,28.00,107,157.00,0,0,10,14
42,Mandeep Singh,13,12,8,165,33*,41.25,120,137.50,0,0,10,4
